-0.0351891490318582, -0.0382703822781826, -0.0417424799782342, -0.0456730248950355, -0.0501448953621243, -0.0552606633616825, -0.0611485626650699, -0.0679707104858368, -0.0759346238533358, -0.0853096525200432, -0.0964509175945745, -0.109835004841236, -0.12611460437592, -0.146204703307011, -0.171423330644533, -0.203730790388691, -0.246155931314248, -0.303599535537032, -0.384454824096919, -0.504161428407183, -0.693867285440641, -1.02464073879037, -1.68888635738954, -3.35615639097236, -9.49105416417067, -55.9964697852777, -1630.61237153456, -1328790.38888418, -881116286879.729, -3.874234806687e+23, -7.49016453315063e+46, -2.79964004027035e+93, -3.91132472101402e+186, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-0.0351891490318582, -0.0382703822781826, -0.0417424799782342, -0.0456730248950355, -0.0501448953621243, -0.0552606633616825, -0.0611485626650699, -0.0679707104858368, -0.0759346238533358, -0.0853096525200432, -0.0964509175945745, -0.109835004841236, -0.12611460437592, -0.146204703307011, -0.171423330644533, -0.203730790388691, -0.246155931314248, -0.303599535537032, -0.384454824096919, -0.504161428407183, -0.693867285440641, -1.02464073879037, -1.68888635738954, -3.35615639097236, -9.49105416417067, -55.9964697852777, -1630.61237153456, -1328790.38888418, -881116286879.729, -3.874234806687e+23, -7.49016453315063e+46, -2.79964004027035e+93, -3.91132472101402e+186, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-0.130320877245202, -0.138890762164229, -0.148398531313864, -0.158994890672761, -0.170863539224298, -0.184230532292994, -0.19937697421062, -0.216656488953612, -0.236519676174909, -0.259548991827325, -0.28650954547715, -0.318424829556498, -0.356692644059131, -0.403267979891554, -0.460961700500106, -0.533948343683549, -0.628671166515685, -0.755548345229973, -0.932415454206017, -1.19207712212184, -1.6007162171657, -2.309360984254, -3.72697151256776, -7.27694482495262, -20.3255291564375, -119.211295651429, -3467.26641677779, -2825362.74373211, -1873488110777.6, -8.23765597886286e+23, -1.59260864991138e+47, -5.95278104377943e+93, -8.3165190240206e+186, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
-0.130320877245202, -0.138890762164229, -0.148398531313864, -0.158994890672761, -0.170863539224298, -0.184230532292994, -0.19937697421062, -0.216656488953612, -0.236519676174909, -0.259548991827325, -0.28650954547715, -0.318424829556498, -0.356692644059131, -0.403267979891554, -0.460961700500106, -0.533948343683549, -0.628671166515685, -0.755548345229973, -0.932415454206017, -1.19207712212184, -1.6007162171657, -2.309360984254, -3.72697151256776, -7.27694482495262, -20.3255291564375, -119.211295651429, -3467.26641677779, -2825362.74373211, -1873488110777.6, -8.23765597886286e+23, -1.59260864991138e+47, -5.95278104377943e+93, -8.3165190240206e+186, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
