6.35367152184985e-05, 6.37321218947313e-05, 6.39225224585431e-05, 6.41064739959369e-05, 6.42823588606301e-05, 6.44483643833046e-05, 6.46024601987713e-05, 6.47423729072441e-05, 6.48655577525823e-05, 6.4969166963445e-05, 6.50500143625594e-05, 6.51045358044948e-05, 6.51287449532711e-05, 6.51181838576925e-05, 6.5067867724468e-05, 6.49722232271023e-05, 6.48250196225534e-05, 6.46192918784062e-05, 6.43472549418277e-05, 6.40002082094074e-05, 6.35684291863962e-05, 6.30410552579755e-05, 6.2405952438338e-05, 6.1649569921351e-05, 6.07567792371308e-05, 5.97106968321179e-05, 5.84924889493943e-05, 5.70811578079708e-05, 5.54533082862094e-05, 5.35828946327262e-05, 5.14409471922022e-05, 4.89952797858206e-05, 4.62101792784048e-05, 4.3046080059527e-05, 3.94592277388111e-05, 3.54013383942882e-05, 3.08192623179973e-05, 2.56546644880334e-05, 1.98437380827285e-05, 1.33169723650679e-05, 5.99900232045166e-06, -2.19142537917709e-06, -1.1341327143738e-05, -2.15431455196117e-05, -3.28941376153166e-05, -4.5495414920706e-05, -5.94505495322485e-05, -7.48636518578331e-05, -9.18368175023791e-05, -0.000110466838309714, -0.000130841077202702, -0.000153032421963362, -0.000177093263487957, -0.000203048493773569, -0.000230887592261735, -0.000260555969570273, -0.000291945866353147, -0.000324887259618773, -0.000359139401382111, -0.000394383789809884, -0.000430219527303689, -0.000466162121033497, -0.000501646790758257, -0.000536037226595274, -0.000568640453022171, -0.000598727990036674, -0.000625562872740595, -0.000648431349665254, -0.000666677321287931, -0.000679736928561509, -0.000687170293123217, -0.000688687363020864, -0.000684165194581221, -0.000673654788437721, -0.000657376695328409, -0.000635705843497122, -0.000609147208223775, -0.000578304852369415, -0.000543847380007061, -0.000506472913923357
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
6.35367152184985e-05, 6.37321218947313e-05, 6.39225224585431e-05, 6.41064739959369e-05, 6.42823588606301e-05, 6.44483643833046e-05, 6.46024601987713e-05, 6.47423729072441e-05, 6.48655577525823e-05, 6.4969166963445e-05, 6.50500143625594e-05, 6.51045358044948e-05, 6.51287449532711e-05, 6.51181838576925e-05, 6.5067867724468e-05, 6.49722232271023e-05, 6.48250196225534e-05, 6.46192918784062e-05, 6.43472549418277e-05, 6.40002082094074e-05, 6.35684291863962e-05, 6.30410552579755e-05, 6.2405952438338e-05, 6.1649569921351e-05, 6.07567792371308e-05, 5.97106968321179e-05, 5.84924889493943e-05, 5.70811578079708e-05, 5.54533082862094e-05, 5.35828946327262e-05, 5.14409471922022e-05, 4.89952797858206e-05, 4.62101792784048e-05, 4.3046080059527e-05, 3.94592277388111e-05, 3.54013383942882e-05, 3.08192623179973e-05, 2.56546644880334e-05, 1.98437380827285e-05, 1.33169723650679e-05, 5.99900232045166e-06, -2.19142537917709e-06, -1.1341327143738e-05, -2.15431455196117e-05, -3.28941376153166e-05, -4.5495414920706e-05, -5.94505495322485e-05, -7.48636518578331e-05, -9.18368175023791e-05, -0.000110466838309714, -0.000130841077202702, -0.000153032421963362, -0.000177093263487957, -0.000203048493773569, -0.000230887592261735, -0.000260555969570273, -0.000291945866353147, -0.000324887259618773, -0.000359139401382111, -0.000394383789809884, -0.000430219527303689, -0.000466162121033497, -0.000501646790758257, -0.000536037226595274, -0.000568640453022171, -0.000598727990036674, -0.000625562872740595, -0.000648431349665254, -0.000666677321287931, -0.000679736928561509, -0.000687170293123217, -0.000688687363020864, -0.000684165194581221, -0.000673654788437721, -0.000657376695328409, -0.000635705843497122, -0.000609147208223775, -0.000578304852369415, -0.000543847380007061, -0.000506472913923357
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
6.35367152184985e-05, 6.37321218947313e-05, 6.39225224585431e-05, 6.41064739959369e-05, 6.42823588606301e-05, 6.44483643833046e-05, 6.46024601987713e-05, 6.47423729072441e-05, 6.48655577525823e-05, 6.4969166963445e-05, 6.50500143625594e-05, 6.51045358044948e-05, 6.51287449532711e-05, 6.51181838576925e-05, 6.5067867724468e-05, 6.49722232271023e-05, 6.48250196225534e-05, 6.46192918784062e-05, 6.43472549418277e-05, 6.40002082094074e-05, 6.35684291863962e-05, 6.30410552579755e-05, 6.2405952438338e-05, 6.1649569921351e-05, 6.07567792371308e-05, 5.97106968321179e-05, 5.84924889493943e-05, 5.70811578079708e-05, 5.54533082862094e-05, 5.35828946327262e-05, 5.14409471922022e-05, 4.89952797858206e-05, 4.62101792784048e-05, 4.3046080059527e-05, 3.94592277388111e-05, 3.54013383942882e-05, 3.08192623179973e-05, 2.56546644880334e-05, 1.98437380827285e-05, 1.33169723650679e-05, 5.99900232045166e-06, -2.19142537917709e-06, -1.1341327143738e-05, -2.15431455196117e-05, -3.28941376153166e-05, -4.5495414920706e-05, -5.94505495322485e-05, -7.48636518578331e-05, -9.18368175023791e-05, -0.000110466838309714, -0.000130841077202702, -0.000153032421963362, -0.000177093263487957, -0.000203048493773569, -0.000230887592261735, -0.000260555969570273, -0.000291945866353147, -0.000324887259618773, -0.000359139401382111, -0.000394383789809884, -0.000430219527303689, -0.000466162121033497, -0.000501646790758257, -0.000536037226595274, -0.000568640453022171, -0.000598727990036674, -0.000625562872740595, -0.000648431349665254, -0.000666677321287931, -0.000679736928561509, -0.000687170293123217, -0.000688687363020864, -0.000684165194581221, -0.000673654788437721, -0.000657376695328409, -0.000635705843497122, -0.000609147208223775, -0.000578304852369415, -0.000543847380007061, -0.000506472913923357
5.71175644212829e-05, 5.51471244027663e-05, 5.30976648630433e-05, 5.09630731984095e-05, 4.87367695245757e-05, 4.64116682251433e-05, 4.39801363593541e-05, 4.14339487071961e-05, 3.87642392250184e-05, 3.59614486830525e-05, 3.30152682587932e-05, 2.99145788684467e-05, 2.66473860343678e-05, 2.32007501117344e-05, 1.95607117353467e-05, 1.57122124006827e-05, 1.16390101662451e-05, 7.32359056175533e-06, 2.74707291492042e-06, -2.11088752437333e-06, -7.272201070665e-06, -1.27604478382232e-05, -1.8600983522545e-05, -2.48210450999869e-05, -3.14498542889726e-05, -3.85187159639808e-05, -4.60611079133801e-05, -5.41127573564783e-05, -6.27116984526047e-05, -7.18983036109423e-05, -8.17152797065539e-05, -9.22076182861646e-05, -0.000103422486467404, -0.000115409042461024, -0.000128218156448342, -0.000141902013911203, -0.000156513574448051, -0.000172105854662456, -0.000188730998978548, -0.00020643909739614, -0.000225276704526702, -0.000245285010169531, -0.000266497608797582, -0.00028893781445545, -0.000312615469837685, -0.00033752320514671, -0.000363632115512561, -0.000390886847429801, -0.000419200117265185, -0.000448446731000424, -0.000478457236468134, -0.000509011419326626, -0.000539831952595005, -0.00057057862531468, -0.000600843704157853, -0.000630149113399215, -0.000657946238702509, -0.00068361924717661, -0.000706492842130553, -0.000725845302955422, -0.000740927464446152, -0.00075098793676179, -0.000755304342561029, -0.000753219662224005, -0.000744181977511001, -0.000727785076360857, -0.00070380665465327, -0.000672240378764472, -0.00063331800888352, -0.000587518242053939, -0.000535559951907919, -0.000478379006576077, -0.00041708964926807, -0.000352933248788119, -0.000287218755615138, -0.000221260156483784, -0.000156316436554136, -9.3539012480184e-05, -3.39304227122063e-05, 2.16835030555804e-05
