-3.27420554584179e-05, -3.39545054140237e-05, -3.51984529210705e-05, -3.64705579062046e-05, -3.77664887378722e-05, -3.90807731863235e-05, -4.04066425638664e-05, -4.1735874007684e-05, -4.3058637991536e-05, -4.43633606368463e-05, -4.5636613142299e-05, -4.68630434739308e-05, -4.80253680436916e-05, -4.91044430029736e-05, -5.00794353995462e-05, -5.09281130984265e-05, -5.16272683349498e-05, -5.2153282457111e-05, -5.24828285458701e-05, -5.25936944411409e-05, -5.24656922579621e-05, -5.20816036079054e-05, -5.14280950551817e-05, -5.04965288524952e-05, -4.92835925442059e-05, -4.77916794801913e-05, -4.60289709054731e-05, -4.40091973052668e-05, -4.17510884082142e-05, -3.92775527594702e-05, -3.66146539927971e-05, -3.37904678019425e-05, -3.08339090055069e-05, -2.7773612165222e-05, -2.46369341249034e-05, -2.14491260475496e-05, -1.82326998711253e-05, -1.50069929499868e-05, -1.17879173721409e-05, -8.587868233656e-06, -5.41575813118104e-06, -2.27714264275285e-06, 8.25597487625273e-07, 3.89304858780759e-06, 6.92855760904859e-06, 9.93804950433269e-06, 1.29298871218542e-05, 1.59147895179301e-05, 1.89058231887014e-05, 2.19184809631703e-05
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
-3.2742055457835e-05, -3.39545054134064e-05, -3.51984529204217e-05, -3.64705579055282e-05, -3.77664887371733e-05, -3.90807731856084e-05, -4.04066425631431e-05, -4.1735874006962e-05, -4.30586379908267e-05, -4.4363360636163e-05, -4.56366131416572e-05, -4.68630434733479e-05, -4.80253680431873e-05, -4.91044430025691e-05, -5.00794353992646e-05, -5.09281130982919e-05, -5.16272683349869e-05, -5.21532824573442e-05, -5.24828285463228e-05, -5.25936944418341e-05, -5.24656922589138e-05, -5.20816036091291e-05, -5.14280950566856e-05, -5.04965288542814e-05, -4.92835925462696e-05, -4.77916794825212e-05, -4.60289709080511e-05, -4.40091973080686e-05, -4.17510884112103e-05, -3.92775527626271e-05, -3.66146539960786e-05, -3.37904678053113e-05, -3.08339090089257e-05, -2.77736121686549e-05, -2.4636934128317e-05, -2.14491260509136e-05, -1.82326998744132e-05, -1.50069929531763e-05, -1.17879173752137e-05, -8.5878682365979e-06, -5.41575813398155e-06, -2.277142645405e-06, 8.25597485125395e-07, 3.89304858546123e-06, 6.92855760685474e-06, 9.9380495022885e-06, 1.29298871199553e-05, 1.59147895161709e-05, 1.89058231870755e-05, 2.19184809616705e-05
9.84266995741912e-20, -5.95877146392855e-18, -1.26450016728975e-17, -2.00091154608305e-17, -2.80990762390185e-17, -3.69603080788142e-17, -4.66335910850383e-17, -5.7152451497458e-17, -6.8540012840841e-17, -8.08053057509532e-17, -9.39390818126538e-17, -1.07909243389713e-16, -1.22656087718662e-16, -1.38087666950642e-16, -1.54075678948522e-16, -1.70452412717642e-16, -1.87009356531975e-16, -2.03498109088669e-16, -2.19634184513917e-16, -2.35104144376568e-16, -2.49576210152138e-16, -2.62714116354155e-16, -2.74193496450478e-16, -2.83719620742945e-16, -2.91044920427524e-16, -2.95984531335216e-16, -2.98428147598489e-16, -2.98346814184167e-16, -2.95793868748097e-16, -2.90899968366274e-16, -2.8386286912645e-16, -2.74933228818881e-16, -2.64398072362814e-16, -2.5256365217071e-16, -2.39739270691134e-16, -2.26223278575506e-16, -2.12292012389614e-16, -1.98191981864906e-16, -1.8413522848645e-16, -1.70297494705519e-16, -1.56818676838079e-16, -1.43804973175774e-16, -1.31332157763254e-16, -1.19449481551988e-16, -1.0818380041943e-16, -9.75436337201985e-17, -8.75229541480159e-17, -7.81045923463123e-17, -6.92632052691484e-17, -6.09678063755408e-17
-0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0, -0
4.51367213325877e-17, 4.15281767413403e-17, 3.74375231346619e-17, 3.28218604664206e-17, 2.76385084532582e-17, 2.18463930226985e-17, 1.54078395886049e-17, 8.29082361306105e-18, 4.7171331391658e-19, -8.06148825674664e-18, -1.7305437336709e-17, -2.72373757954094e-17, -3.78108646165834e-17, -4.89515946442198e-17, -6.05536494830423e-17, -7.24766970959766e-17, -8.45446658144353e-17, -9.65464919302736e-17, -1.08239481766746e-16, -1.19355686324505e-16, -1.29611428151205e-16, -1.38719755966335e-16, -1.46405169119287e-16, -1.52419517053285e-16, -1.56557625810523e-16, -1.58671024404168e-16, -1.58678206560718e-16, -1.5657018942178e-16, -1.52410681534528e-16, -1.46330852621096e-16, -1.38519377857074e-16, -1.29208980497951e-16, -1.18661023766415e-16, -1.07149767559395e-16, -9.49477294639778e-17, -8.23132406311838e-17, -6.94808549639229e-17, -5.66548413863407e-17, -4.40056288578204e-17, -3.16688180523964e-17, -1.97462299334738e-17, -8.30841671185269e-18, 2.60190966332661e-18, 1.29659998671695e-17, 2.27851103420707e-17, 3.20767356718213e-17, 4.08712065529122e-17, 4.92087535953417e-17, 5.71370791118965e-17, 6.47094382153942e-17
-3.27420554579461e-05, -3.3954505413514e-05, -3.51984529205252e-05, -3.6470557905627e-05, -3.77664887372666e-05, -3.90807731856957e-05, -4.04066425632233e-05, -4.17358740070344e-05, -4.30586379908902e-05, -4.43633606362167e-05, -4.56366131417001e-05, -4.6863043473379e-05, -4.80253680432054e-05, -4.91044430025733e-05, -5.00794353992539e-05, -5.09281130982656e-05, -5.16272683349441e-05, -5.21532824572845e-05, -5.24828285462457e-05, -5.25936944417398e-05, -5.24656922588023e-05, -5.20816036090009e-05, -5.14280950565415e-05, -5.04965288541225e-05, -4.92835925460973e-05, -4.77916794823369e-05, -4.60289709078566e-05, -4.40091973078656e-05, -4.17510884110006e-05, -3.92775527624126e-05, -3.6614653995861e-05, -3.37904678050921e-05, -3.08339090087061e-05, -2.77736121684361e-05, -2.46369341280998e-05, -2.14491260506987e-05, -1.8232699874201e-05, -1.50069929529668e-05, -1.17879173750069e-05, -8.58786823639355e-06, -5.41575813377922e-06, -2.27714264520409e-06, 8.255974853256e-07, 3.89304858566159e-06, 6.92855760705625e-06, 9.93804950249226e-06, 1.29298871201625e-05, 1.59147895163831e-05, 1.89058231872941e-05, 2.19184809618974e-05
-8.62511047249326e-05, -8.67527105444636e-05, -8.71520567010699e-05, -8.74340015456918e-05, -8.75820351939826e-05, -8.75782995675405e-05, -8.74036582617047e-05, -8.70378302737899e-05, -8.64596031142834e-05, -8.56471416382114e-05, -8.45784086290156e-05, -8.32317111996596e-05, -8.1586382839982e-05, -7.96236038423723e-05, -7.73273524220313e-05, -7.46854649660123e-05, -7.16907668738519e-05, -6.83422165106969e-05, -6.46459858997923e-05, -6.06163858621862e-05, -5.62765339697581e-05, -5.16586646486556e-05, -4.680399508587e-05, -4.17620895825635e-05, -3.65897073985174e-05, -3.13491706333283e-05, -2.61063422412931e-05, -2.09283512556585e-05, -1.58812343556949e-05, -1.10276740069884e-05, -6.4250013904991e-06, -2.12359953162716e-06, 1.83420537857512e-06, 5.41473009187298e-06, 8.59301465044848e-06, 1.13524555593181e-05, 1.36840785303541e-05, 1.55855509405261e-05, 1.70600342046546e-05, 1.81149660729568e-05, 1.87608461743188e-05, 1.90100785093423e-05, 1.88759049142667e-05, 1.83714456940996e-05, 1.75088486663591e-05, 1.62985360079033e-05, 1.47485292445703e-05, 1.28638257979553e-05, 1.06457948269958e-05, 8.09155466652583e-06
