-0.8,-1.7,1.64,1.29,1.1,-0.106,2.2,0,0,0,0,0,0,0
-0.8,-1.7,1.64,1.29,1.1,-0.106,2.2,2.5034,34.159,-0.59705,0.9267,-0.40139,-1.412,-0.23836
-0.78595,-1.5083,1.6366,1.2952,1.0977,-0.11392,2.1987,4.8687,68.245,-1.151,1.7217,-0.77413,-2.638,-0.45973
-0.75863,-1.1253,1.6302,1.3049,1.0934,-0.12873,2.1961,6.1545,82.349,-1.6609,2.2367,-1.1172,-3.6523,-0.66346
-0.72409,-0.66312,1.6209,1.3174,1.0871,-0.14923,2.1924,6.6074,77.357,-2.1261,2.4805,-1.4297,-4.4475,-0.84912
-0.687,-0.22898,1.6089,1.3313,1.0791,-0.17419,2.1876,6.7363,68.005,-2.5475,2.5694,-1.7124,-5.0511,-1.017
-0.6492,0.15269,1.5946,1.3458,1.0695,-0.20253,2.1819,6.6453,57.043,-2.9246,2.5184,-1.965,-5.4654,-1.167
-0.6119,0.47282,1.5782,1.3599,1.0585,-0.23321,2.1753,6.3726,45.265,-3.2569,2.3318,-2.1874,-5.6908,-1.299
-0.57614,0.72686,1.5599,1.373,1.0462,-0.26515,2.168,5.9378,32.988,-3.5444,2.0114,-2.3799,-5.7276,-1.4133
-0.54281,0.912,1.5401,1.3843,1.0328,-0.29729,2.1601,5.36,20.475,-3.7885,1.5632,-2.5434,-5.5784,-1.5103
-0.51273,1.0269,1.5188,1.393,1.0186,-0.3286,2.1516,4.7769,7.9417,-3.9956,1.0072,-2.6824,-5.1998,-1.5927
-0.48592,1.0715,1.4964,1.3987,1.0035,-0.35778,2.1427,4.2355,-3.4221,-4.1639,0.39491,-2.7955,-4.6443,-1.6597
-0.46215,1.0523,1.473,1.4009,0.98782,-0.38385,2.1334,3.5965,-8.7181,-4.2629,-0.035245,-2.8624,-4.1465,-1.6993
-0.44197,1.0033,1.4491,1.4007,0.97176,-0.40712,2.1238,3.0391,-8.8258,-4.3132,-0.30704,-2.8969,-3.6244,-1.7196
-0.42491,0.95381,1.4249,1.399,0.9555,-0.42746,2.1142,2.4958,-7.6793,-4.3978,-0.59751,-2.9544,-2.8789,-1.7534
-0.4109,0.91072,1.4002,1.3956,0.93892,-0.44362,2.1044,1.8585,-5.0987,-4.4867,-0.68227,-3.0149,-2.2205,-1.7886
-0.40047,0.8821,1.375,1.3918,0.922,-0.45608,2.0943,1.2995,-4.7392,-4.5974,-0.84943,-3.09,-1.6117,-1.8322
-0.39318,0.8555,1.3492,1.387,0.90465,-0.46512,2.084,0.9765,-1.2819,-4.7475,-0.60693,-3.1912,-1.4132,-1.8909
-0.3877,0.84831,1.3226,1.3836,0.88674,-0.47305,2.0734,0.79217,0.94239,-4.9246,-0.43348,-3.3102,-1.2373,-1.96
-0.38325,0.8536,1.2949,1.3812,0.86817,-0.48,2.0624,0.70644,3.0095,-5.1703,-0.10465,-3.4748,-1.1596,-2.0559
-0.37929,0.87049,1.2659,1.3806,0.84867,-0.48651,2.0509,0.68275,4.3518,-5.5141,0.28497,-3.7052,-1.2596,-2.1905
-0.37546,0.89491,1.235,1.3822,0.82787,-0.49357,2.0386,0.73748,6.3603,-5.9182,0.84081,-3.9757,-1.5983,-2.3488
-0.37132,0.93061,1.2017,1.3869,0.80556,-0.50254,2.0254,0.83028,7.8175,-6.3533,1.3731,-4.2671,-1.9801,-2.5195
-0.36666,0.97448,1.1661,1.3946,0.78161,-0.51366,2.0113,0.95018,6.9697,-6.8233,1.8221,-4.5819,-2.3985,-2.7041
-0.36133,1.0136,1.1278,1.4049,0.7559,-0.52712,1.9961,1.1164,4.5897,-7.2499,2.1871,-4.8677,-2.8895,-2.8717
-0.35506,1.0394,1.0871,1.4171,0.72858,-0.54334,1.98,1.2859,1.4375,-7.7178,2.4301,-5.1812,-3.3662,-3.0558
-0.34784,1.0474,1.0438,1.4308,0.6995,-0.56223,1.9628,1.4742,-0.80886,-8.1432,2.681,-5.4662,-3.926,-3.2233
-0.33957,1.0429,0.99809,1.4458,0.66882,-0.58426,1.9447,1.693,-0.7431,-8.5428,2.9974,-5.7337,-4.5791,-3.3807
-0.33007,1.0387,0.95015,1.4626,0.63664,-0.60996,1.9258,1.9276,-0.66314,-8.9094,3.1052,-5.9789,-4.9354,-3.5251
-0.31925,1.035,0.90014,1.4801,0.60309,-0.63766,1.906,2.1593,-1.8455,-9.161,3.0476,-6.1466,-5.0869,-3.6239
-0.30713,1.0246,0.84873,1.4972,0.56859,-0.66621,1.8856,2.3823,-3.5306,-9.375,2.8469,-6.2889,-5.0306,-3.7078
-0.29376,1.0048,0.79612,1.5132,0.5333,-0.69444,1.8648,2.5942,-4.7837,-9.5413,2.5623,-6.3988,-4.8095,-3.7728
-0.2792,0.97797,0.74257,1.5275,0.49738,-0.72143,1.8437,2.7932,-5.8425,-9.6084,2.2968,-6.4421,-4.569,-3.7984
-0.26353,0.94518,0.68864,1.5404,0.46123,-0.74708,1.8223,2.9719,-7.8192,-9.6071,1.9704,-6.4393,-4.3639,-3.797
-0.24685,0.9013,0.63473,1.5515,0.42509,-0.77157,1.801,3.1229,-9.5564,-9.5255,1.6098,-6.3826,-4.1158,-3.7639
-0.22932,0.84767,0.58127,1.5605,0.38927,-0.79467,1.7799,3.2431,-10.131,-9.4751,1.2624,-6.3471,-3.8022,-3.7434
-0.21112,0.79081,0.52809,1.5676,0.35365,-0.816,1.7589,3.3364,-8.7208,-9.4322,0.97496,-6.3171,-3.439,-3.7262
